workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,milestones_completed,milestones_total,tokens_per_completed_milestone,language_count,tool_schema_hashes
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,1,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,True,False,78928,11900,51416,0,90828,0.37582,10,6,12,148.445,max_turns,6,6,3,3,30276.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,2,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,True,True,True,84306,15486,56388,0,99792,0.443055,7,5,12,137.34,max_turns,6,6,3,3,33264.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,3,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,110101,9547,56047,0,119648,0.418458,8,4,12,98.274,max_turns,6,3,1,3,119648.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,4,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,32296,6300,23222,0,38596,0.17524,7,2,5,50.712,repeated_tool_loop,6,2,1,3,38596.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,5,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,4723,724,4720,0,5447,0.022668,1,2,1,9.773,text_response,6,0,0,3,,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,6,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,94717,9282,56163,0,103999,0.376022,7,4,12,94.214,max_turns,6,2,1,3,103999.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,7,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,87097,8208,55884,0,95305,0.340863,8,4,12,84.556,max_turns,6,2,1,3,95305.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,8,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,4723,523,4720,0,5246,0.019653,1,2,1,6.758,text_response,6,0,0,3,,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,9,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,True,True,True,55363,12116,42354,0,67479,0.320148,2,2,9,127.677,done,6,6,3,3,22493.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,10,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,True,False,83970,14990,56136,0,98960,0.434775,11,5,12,128.965,max_turns,6,4,2,3,49480.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,1,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,140636,12826,70583,0,153462,0.54398,6,0,12,133.415,max_turns,6,4,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,2,gpt-5.6-terra,openai-responses,mid,publication-real-repository-recovery,False,False,False,80710,3550,50735,0,84260,0.255025,1,0,7,44.26,done,6,1,0,3,,2,073d5dee7650d228
